block,raintreat,comp,brc,datetime,temp
8,W,B,8WB,01-13-2025 14:00:28,14.798
10,C,A,10CA,01-13-2025 14:00:28,14.069
10,D,B,10DB,01-13-2025 14:00:28,15.785
10,W,B,10WB,01-13-2025 14:00:28,15.527
11,AMB,,DSWS,01-13-2025 14:00:28,15.441
12,AMB,,USWS,01-13-2025 14:00:28,15.27
1,C,A,1CA,01-14-2025 10:31:09,15.184
1,D,B,1DB,01-14-2025 10:31:09,17.801
1,W,B,1WB,01-14-2025 10:31:09,16.943
2,C,B,2CB,01-14-2025 10:31:09,15.398
2,D,B,2DB,01-14-2025 10:31:09,17.672
2,W,A,2WA,01-14-2025 10:31:09,16.986
4,C,B,4CB,01-14-2025 10:31:09,17.887
4,D,A,4DA,01-14-2025 10:31:09,15.956
4,W,B,4WB,01-14-2025 10:31:09,15.184
6,C,B,6CB,01-14-2025 10:31:09,14.798
6,D,B,6DB,01-14-2025 10:31:09,16.771
6,W,A,6WA,01-14-2025 10:31:09,15.827
8,C,A,8CA,01-14-2025 10:31:09,15.527
8,D,A,8DA,01-14-2025 10:31:09,19.474
8,W,B,8WB,01-14-2025 10:31:09,15.999
10,C,A,10CA,01-14-2025 10:31:09,15.184
10,D,B,10DB,01-14-2025 10:31:09,17.543
10,W,B,10WB,01-14-2025 10:31:09,16.557
11,AMB,,DSWS,01-14-2025 10:31:09,14.412
12,AMB,,USWS,01-14-2025 10:31:09,14.798
1,C,A,1CA,01-14-2025 11:01:10,15.484
1,D,B,1DB,01-14-2025 11:01:10,18.573
1,W,B,1WB,01-14-2025 11:01:10,16.514
2,C,B,2CB,01-14-2025 11:01:10,15.913
2,D,B,2DB,01-14-2025 11:01:10,17.329
2,W,A,2WA,01-14-2025 11:01:10,16.557
4,C,B,4CB,01-14-2025 11:01:10,19.088
4,D,A,4DA,01-14-2025 11:01:10,16.171
4,W,B,4WB,01-14-2025 11:01:10,15.527
6,C,B,6CB,01-14-2025 11:01:10,15.484
6,D,B,6DB,01-14-2025 11:01:10,15.956
6,W,A,6WA,01-14-2025 11:01:10,16.171
8,C,A,8CA,01-14-2025 11:01:10,16.557
8,D,A,8DA,01-14-2025 11:01:10,20.246
8,W,B,8WB,01-14-2025 11:01:10,16.643
10,C,A,10CA,01-14-2025 11:01:10,15.87
10,D,B,10DB,01-14-2025 11:01:10,18.015
10,W,B,10WB,01-14-2025 11:01:10,17.029
11,AMB,,DSWS,01-14-2025 11:01:10,15.742
12,AMB,,USWS,01-14-2025 11:01:10,16.342
1,C,A,1CA,01-14-2025 11:31:11,17.2
1,D,B,1DB,01-14-2025 11:31:11,20.632
1,W,B,1WB,01-14-2025 11:31:11,18.187
2,C,B,2CB,01-14-2025 11:31:11,17.586
2,D,B,2DB,01-14-2025 11:31:11,19.26
2,W,A,2WA,01-14-2025 11:31:11,18.187
4,C,B,4CB,01-14-2025 11:31:11,20.418
4,D,A,4DA,01-14-2025 11:31:11,17.887
4,W,B,4WB,01-14-2025 11:31:11,16.943
6,C,B,6CB,01-14-2025 11:31:11,16.986
6,D,B,6DB,01-14-2025 11:31:11,18.873
6,W,A,6WA,01-14-2025 11:31:11,18.23
8,C,A,8CA,01-14-2025 11:31:11,17.501
8,D,A,8DA,01-14-2025 11:31:11,21.49
8,W,B,8WB,01-14-2025 11:31:11,17.887
10,C,A,10CA,01-14-2025 11:31:11,17.501
10,D,B,10DB,01-14-2025 11:31:11,20.461
10,W,B,10WB,01-14-2025 11:31:11,18.873
11,AMB,,DSWS,01-14-2025 11:31:11,18.058
12,AMB,,USWS,01-14-2025 11:31:11,17.887
1,C,A,1CA,01-14-2025 12:01:12,17.286
1,D,B,1DB,01-14-2025 12:01:12,20.075
1,W,B,1WB,01-14-2025 12:01:12,17.972
2,C,B,2CB,01-14-2025 12:01:12,17.93
2,D,B,2DB,01-14-2025 12:01:12,18.53
2,W,A,2WA,01-14-2025 12:01:12,18.101
4,C,B,4CB,01-14-2025 12:01:12,20.675
4,D,A,4DA,01-14-2025 12:01:12,18.144
4,W,B,4WB,01-14-2025 12:01:12,17.072
6,C,B,6CB,01-14-2025 12:01:12,17.114
6,D,B,6DB,01-14-2025 12:01:12,19.002
6,W,A,6WA,01-14-2025 12:01:12,18.273
8,C,A,8CA,01-14-2025 12:01:12,17.972
8,D,A,8DA,01-14-2025 12:01:12,21.49
8,W,B,8WB,01-14-2025 12:01:12,18.015
10,C,A,10CA,01-14-2025 12:01:12,17.672
10,D,B,10DB,01-14-2025 12:01:12,19.345
10,W,B,10WB,01-14-2025 12:01:12,18.273
11,AMB,,DSWS,01-14-2025 12:01:12,18.359
12,AMB,,USWS,01-14-2025 12:01:12,18.015
1,C,A,1CA,01-14-2025 12:31:13,18.359
1,D,B,1DB,01-14-2025 12:31:13,21.533
1,W,B,1WB,01-14-2025 12:31:13,19.646
2,C,B,2CB,01-14-2025 12:31:13,18.745
2,D,B,2DB,01-14-2025 12:31:13,18.616
2,W,A,2WA,01-14-2025 12:31:13,19.002
4,C,B,4CB,01-14-2025 12:31:13,21.962
4,D,A,4DA,01-14-2025 12:31:13,19.26
4,W,B,4WB,01-14-2025 12:31:13,17.972
