block,raintreat,comp,brc,datetime,temp
6,W,A,6WA,04-07-2025 09:37:27,13.94
8,C,A,8CA,04-07-2025 09:37:27,12.824
8,D,A,8DA,04-07-2025 09:37:27,12.953
8,W,B,8WB,04-07-2025 09:37:27,12.996
10,C,A,10CA,04-07-2025 09:37:27,13.983
10,D,B,10DB,04-07-2025 09:37:27,13.253
10,W,B,10WB,04-07-2025 09:37:27,13.339
11,AMB,,DSWS,04-07-2025 09:37:27,11.666
12,AMB,,USWS,04-07-2025 09:37:27,11.838
1,C,A,1CA,04-07-2025 10:07:28,17.458
1,D,B,1DB,04-07-2025 10:07:28,15.098
1,W,B,1WB,04-07-2025 10:07:28,14.969
2,C,B,2CB,04-07-2025 10:07:28,17.672
2,D,B,2DB,04-07-2025 10:07:28,17.243
2,W,A,2WA,04-07-2025 10:07:28,18.788
4,C,B,4CB,04-07-2025 10:07:28,16.085
4,D,A,4DA,04-07-2025 10:07:28,17.286
4,W,B,4WB,04-07-2025 10:07:28,19.517
6,C,B,6CB,04-07-2025 10:07:28,15.527
6,D,B,6DB,04-07-2025 10:07:28,15.356
6,W,A,6WA,04-07-2025 10:07:28,15.184
8,C,A,8CA,04-07-2025 10:07:28,14.069
8,D,A,8DA,04-07-2025 10:07:28,14.24
8,W,B,8WB,04-07-2025 10:07:28,13.983
10,C,A,10CA,04-07-2025 10:07:28,14.24
10,D,B,10DB,04-07-2025 10:07:28,14.24
10,W,B,10WB,04-07-2025 10:07:28,14.54
11,AMB,,DSWS,04-07-2025 10:07:28,13.468
12,AMB,,USWS,04-07-2025 10:07:28,13.682
1,C,A,1CA,04-07-2025 10:37:29,17.114
1,D,B,1DB,04-07-2025 10:37:29,14.927
1,W,B,1WB,04-07-2025 10:37:29,14.841
2,C,B,2CB,04-07-2025 10:37:29,16.6
2,D,B,2DB,04-07-2025 10:37:29,17.029
2,W,A,2WA,04-07-2025 10:37:29,17.715
4,C,B,4CB,04-07-2025 10:37:29,16.171
4,D,A,4DA,04-07-2025 10:37:29,16.814
4,W,B,4WB,04-07-2025 10:37:29,18.401
6,C,B,6CB,04-07-2025 10:37:29,15.227
6,D,B,6DB,04-07-2025 10:37:29,15.184
6,W,A,6WA,04-07-2025 10:37:29,15.227
8,C,A,8CA,04-07-2025 10:37:29,14.412
8,D,A,8DA,04-07-2025 10:37:29,14.54
8,W,B,8WB,04-07-2025 10:37:29,13.811
10,C,A,10CA,04-07-2025 10:37:29,14.154
10,D,B,10DB,04-07-2025 10:37:29,14.455
10,W,B,10WB,04-07-2025 10:37:29,14.927
11,AMB,,DSWS,04-07-2025 10:37:29,13.682
12,AMB,,USWS,04-07-2025 10:37:29,13.983
1,C,A,1CA,04-07-2025 11:07:30,16.943
1,D,B,1DB,04-07-2025 11:07:30,15.313
1,W,B,1WB,04-07-2025 11:07:30,15.57
2,C,B,2CB,04-07-2025 11:07:30,16.771
2,D,B,2DB,04-07-2025 11:07:30,16.986
2,W,A,2WA,04-07-2025 11:07:30,17.2
4,C,B,4CB,04-07-2025 11:07:30,16.128
4,D,A,4DA,04-07-2025 11:07:30,17.672
4,W,B,4WB,04-07-2025 11:07:30,17.543
6,C,B,6CB,04-07-2025 11:07:30,16.728
6,D,B,6DB,04-07-2025 11:07:30,16.171
6,W,A,6WA,04-07-2025 11:07:30,15.999
8,C,A,8CA,04-07-2025 11:07:30,15.484
8,D,A,8DA,04-07-2025 11:07:30,15.398
8,W,B,8WB,04-07-2025 11:07:30,15.313
10,C,A,10CA,04-07-2025 11:07:30,15.441
10,D,B,10DB,04-07-2025 11:07:30,15.27
10,W,B,10WB,04-07-2025 11:07:30,14.798
11,AMB,,DSWS,04-07-2025 11:07:30,14.455
12,AMB,,USWS,04-07-2025 11:07:30,14.884
1,C,A,1CA,04-07-2025 11:37:31,18.959
1,D,B,1DB,04-07-2025 11:37:31,16.171
1,W,B,1WB,04-07-2025 11:37:31,16.428
2,C,B,2CB,04-07-2025 11:37:31,18.788
2,D,B,2DB,04-07-2025 11:37:31,17.629
2,W,A,2WA,04-07-2025 11:37:31,18.83
4,C,B,4CB,04-07-2025 11:37:31,17.157
4,D,A,4DA,04-07-2025 11:37:31,19.174
4,W,B,4WB,04-07-2025 11:37:31,19.817
6,C,B,6CB,04-07-2025 11:37:31,18.015
6,D,B,6DB,04-07-2025 11:37:31,17.029
6,W,A,6WA,04-07-2025 11:37:31,16.857
8,C,A,8CA,04-07-2025 11:37:31,15.913
8,D,A,8DA,04-07-2025 11:37:31,15.527
8,W,B,8WB,04-07-2025 11:37:31,16.042
10,C,A,10CA,04-07-2025 11:37:31,17.114
10,D,B,10DB,04-07-2025 11:37:31,15.356
10,W,B,10WB,04-07-2025 11:37:31,15.57
11,AMB,,DSWS,04-07-2025 11:37:31,15.913
12,AMB,,USWS,04-07-2025 11:37:31,15.57
1,C,A,1CA,04-07-2025 12:07:32,20.246
1,D,B,1DB,04-07-2025 12:07:32,17.715
1,W,B,1WB,04-07-2025 12:07:32,18.616
2,C,B,2CB,04-07-2025 12:07:32,19.002
2,D,B,2DB,04-07-2025 12:07:32,18.745
2,W,A,2WA,04-07-2025 12:07:32,19.603
4,C,B,4CB,04-07-2025 12:07:32,19.002
4,D,A,4DA,04-07-2025 12:07:32,20.761
4,W,B,4WB,04-07-2025 12:07:32,21.061
6,C,B,6CB,04-07-2025 12:07:32,18.015
6,D,B,6DB,04-07-2025 12:07:32,17.844
6,W,A,6WA,04-07-2025 12:07:32,17.972
8,C,A,8CA,04-07-2025 12:07:32,17.458
8,D,A,8DA,04-07-2025 12:07:32,16.643
8,W,B,8WB,04-07-2025 12:07:32,17.586
10,C,A,10CA,04-07-2025 12:07:32,17.286
10,D,B,10DB,04-07-2025 12:07:32,16.814
10,W,B,10WB,04-07-2025 12:07:32,17.2
11,AMB,,DSWS,04-07-2025 12:07:32,17.029
12,AMB,,USWS,04-07-2025 12:07:32,17.715
1,C,A,1CA,04-07-2025 12:37:33,20.461
1,D,B,1DB,04-07-2025 12:37:33,21.533
1,W,B,1WB,04-07-2025 12:37:33,22.434
2,C,B,2CB,04-07-2025 12:37:33,21.319
2,D,B,2DB,04-07-2025 12:37:33,21.362
2,W,A,2WA,04-07-2025 12:37:33,21.748
4,C,B,4CB,04-07-2025 12:37:33,21.919
4,D,A,4DA,04-07-2025 12:37:33,23.121
4,W,B,4WB,04-07-2025 12:37:33,20.976
